filename,width,height,class,xmin,ymin,xmax,ymax
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,707,412,720,447
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1094,419,1119,456
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,520,458,535,507
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,referee,770,463,794,508
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,805,415,822,449
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,goalkeeper,1427,404,1443,437
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1142,467,1168,511
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1247,535,1284,589
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,417,464,432,514
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,referee,1508,613,1553,681
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1035,468,1059,514
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,913,528,932,584
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1229,500,1255,555
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,629,512,655,570
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,960,534,977,584
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,1144,574,1167,634
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,667,525,695,580
cd987c_9_8_png.rf.005a880c2a0e49fcb5af3fde350e0c48.jpg,1920,1080,player,984,508,1005,564
